time,f0,intensity
10.62,307.58,0.03
10.63,316.95,0.01
10.64,321.76,0.07
10.65,321.29,0.1
10.66,321.73,0.1
10.67,321.45,0.11
10.68,323.19,0.11
10.69,326.6,0.1
10.7,329.21,0.1
10.71,332.15,0.09
10.72,337.12,0.09
10.73,342.86,0.08
10.74,345.96,0.08
10.75,347.01,0.06
10.76,346.63,0.04
10.77,346.02,0.02
10.78,345.4,0.02
10.79,344.79,0.02
10.8,344.17,0.02
10.81,343.55,0.02
10.82,342.94,0.02
10.83,342.32,0.1
10.84,338.99,0.15
10.85,331.89,0.15
10.86,324.43,0.14
10.87,317.58,0.12
10.88,312.43,0.12
10.89,307.76,0.11
10.9,302.34,0.11
10.91,297.28,0.1
10.92,292.4,0.1
10.93,286.83,0.1
10.94,280.66,0.1
10.95,274.76,0.09
10.96,269.66,0.1
10.97,266.81,0.1
10.98,265.47,0.1
10.99,264.79,0.09
11,263.92,0.06
11.01,199.94,0.03
11.02,225.42,0
11.03,301.13,0.01
11.04,277.99,0.01
11.05,254.86,0.01
11.06,231.73,0.01
11.07,208.59,0.01
11.08,185.46,0.02
11.09,162.32,0.02
11.1,231.34,0.06
11.11,303.43,0.08
11.12,297.77,0.07
11.13,291.8,0.07
11.14,288.9,0.07
11.15,286.76,0.07
11.16,286.25,0.05
11.17,285.87,0.07
11.18,282.25,0.09
11.19,277.38,0.09
11.2,271.75,0.08
11.21,266.14,0.07
11.22,262.85,0.05
11.23,260.78,0.02
11.24,258.72,0.02
11.25,256.65,0.02
11.26,254.58,0.02
11.27,252.52,0.02
11.28,250.45,0.02
11.29,248.38,0.01
11.3,246.32,0.05
11.31,241.05,0.08
11.32,233.82,0.1
11.33,225.73,0.1
11.34,218.63,0.08
11.35,213.93,0.08
11.36,211.77,0.08
11.37,210.5,0.08
11.38,209.53,0.09
11.39,209.17,0.09
11.4,208.62,0.09
11.41,207.75,0.09
11.42,208.06,0.09
11.43,211.53,0.09
11.44,220.21,0.09
11.45,231.72,0.09
11.46,245.03,0.09
11.47,258.48,0.08
11.48,272.79,0.06
11.49,288.39,0.06
11.5,299.1,0.05
11.51,305.29,0.03
11.52,301.02,0.01
11.53,290.7,0
11.54,280.38,0.01
11.55,270.06,0.02
11.56,259.74,0.03
11.57,249.42,0.03
11.58,239.1,0.02
11.59,228.78,0.02
11.6,231.05,0.1
11.61,230.03,0.14
11.62,220.22,0.16
11.63,208.13,0.15
11.64,196.84,0.13
11.65,189.02,0.11
11.66,183.69,0.07
11.67,181.44,0.04
11.68,180.58,0.03
11.69,179.73,0.04
11.7,178.87,0.04
11.71,178.01,0.04
11.72,177.16,0.04
11.73,176.3,0.03
11.74,175.45,0.03
11.75,174.59,0.04
11.76,177.09,0.07
11.77,177.17,0.1
11.78,175.84,0.13
11.79,176.04,0.14
11.8,177.64,0.14
11.81,180.36,0.13
11.82,186.07,0.11
11.83,194.34,0.1
11.84,203.94,0.09
11.85,214.35,0.07
11.86,233.86,0.05
11.87,242.37,0.01
11.88,244.3,0
11.89,246.23,0
11.9,248.17,0
11.91,250.1,0
11.92,252.03,0
11.93,253.97,0
11.94,255.9,0
11.95,257.84,0
11.96,259.77,0
11.97,261.7,0
11.98,263.64,0
11.99,265.57,0
12,267.51,0
12.01,269.44,0
12.02,271.37,0
12.03,273.31,0
12.04,275.24,0
12.05,277.17,0
12.06,279.11,0
12.07,281.04,0
12.08,282.98,0
12.09,284.91,0
12.1,286.84,0
12.11,288.78,0
12.12,290.71,0.01
12.13,292.65,0.02
12.14,294.58,0.02
12.15,296.51,0.01
12.16,298.45,0.07
12.17,296.38,0.12
12.18,294.16,0.15
12.19,293.94,0.15
12.2,297.8,0.14
12.21,301.55,0.13
12.22,306.93,0.12
12.23,309.13,0.11
12.24,310.3,0.1
12.25,310.64,0.1
12.26,306.31,0.1
12.27,299.4,0.1
12.28,290.37,0.1
12.29,277.5,0.09
12.3,261.39,0.08
12.31,243.07,0.06
12.32,225.48,0.04
12.33,212.57,0.05
12.34,207.35,0.07
12.35,203,0.07
12.36,197.98,0.07
12.37,197.09,0.07
12.38,193.75,0.06
12.39,196.38,0.04
12.4,195.85,0.01
12.41,194.25,0
12.42,192.65,0
12.43,191.05,0.01
12.44,189.45,0.02
12.45,187.85,0.03
12.46,186.26,0.03
12.47,184.66,0.02
12.48,183.06,0.02
12.49,181.46,0.02
12.5,179.86,0.01
