time,f0,intensity
7.34,222.31,0.08
7.35,224.7,0.08
7.36,226.91,0.08
7.37,228.51,0.08
7.38,230.96,0.08
7.39,236.42,0.08
7.4,239.06,0.1
7.41,240.25,0.11
7.42,241.73,0.11
7.43,243.27,0.12
7.44,244.11,0.12
7.45,246.02,0.11
7.46,249.8,0.1
7.47,258.27,0.1
7.48,269.3,0.09
7.49,277.21,0.07
7.5,290.08,0.05
7.51,304.95,0.04
7.52,321.87,0.04
7.53,327.99,0.03
7.54,312.48,0.02
7.55,297.9,0.01
7.56,286.43,0
7.57,274.96,0.01
7.58,263.5,0.02
7.59,252.03,0.02
7.6,240.56,0.01
7.61,229.09,0.01
7.62,217.63,0.01
7.63,206.16,0.01
7.64,194.69,0.01
7.65,183.22,0.01
7.66,171.76,0.02
7.67,210.5,0.02
7.68,206.98,0.06
7.69,197.6,0.09
7.7,195.48,0.09
7.71,193.85,0.09
7.72,196.17,0.08
7.73,201.7,0.07
7.74,210.46,0.06
7.75,223.74,0.06
7.76,247.04,0.06
7.77,267.04,0.06
7.78,284.97,0.06
7.79,295.02,0.06
7.8,307.32,0.03
7.81,115.21,0
7.82,55.8,0
7.83,90.95,0.01
7.84,164.8,0.05
7.85,321.81,0.09
7.86,351.43,0.1
7.87,341.56,0.09
7.88,333.62,0.08
7.89,325.28,0.07
7.9,315.18,0.06
7.91,301.12,0.05
7.92,293.6,0.05
7.93,283.22,0.06
7.94,272.73,0.07
7.95,263.6,0.08
7.96,255.16,0.08
7.97,248,0.09
7.98,240.5,0.1
7.99,233.24,0.09
8,225.31,0.08
8.01,220.68,0.09
8.02,213.97,0.08
8.03,207.59,0.08
8.04,200.09,0.07
8.05,192,0.06
8.06,184.95,0.05
8.07,179.23,0.05
8.08,178.67,0.05
8.09,179.45,0.05
8.1,180.69,0.04
8.11,77.94,0.03
8.12,68.47,0.01
8.13,80.17,0
8.14,91.87,0.02
8.15,103.56,0.02
8.16,115.26,0.02
8.17,126.95,0.02
8.18,138.65,0.02
8.19,150.34,0.03
8.2,162.04,0.03
8.21,173.73,0.03
8.22,185.43,0.03
8.23,197.12,0.05
8.24,187.46,0.08
8.25,182.72,0.08
8.26,180.23,0.07
8.27,175.57,0.07
8.28,170.36,0.07
8.29,166.31,0.06
8.3,164.38,0.06
8.31,163.38,0.05
8.32,136.89,0.04
8.33,105.56,0.04
8.34,111.41,0.03
8.35,126.56,0.03
8.36,182.31,0.04
8.37,187.18,0.05
8.38,186.33,0.05
8.39,187.55,0.04
8.4,191.52,0.03
8.41,194.22,0.02
8.42,196.75,0.01
8.43,199.29,0.01
8.44,201.83,0.01
8.45,204.37,0.01
8.46,206.91,0.01
8.47,209.44,0.01
8.48,211.98,0.04
8.49,195.47,0.07
8.5,180.19,0.07
8.51,170.25,0.07
8.52,85.57,0.06
